Ion,EMU,Time (h),0,0.001388889,0.008333333,0.016666667,0.033333333,0.066666667,0.133333333,0.2,0.333333333,0.5
3PGA,3PGA_123,M0,2230,683,1387,1180,1461,1827,3609,4493,6086,6282
,,M1,61,172,345,589,1087,1753,3989,5321,8020,8519
,,M2,19,22,25,42,153,484,2027,3152,4525,5169
,,M3,0,0,0,0,102,272,1604,1770,3771,4368
,,M0,39807,26981,8858,20945,9889,13560,13093,14773,12488,13115
,,M1,1358,4619,2988,11873,8703,14909,18888,20377,21052,20730
,,M2,271,239,174,1376,2085,6549,9477,13368,14686,15807
,,M3,0,0,166,720,882,2495,3881,5741,6047,7077
F6P,F6P_123456,M0,2899,2462,1989,3457,1238,1589,1212,1554,1016,1940
,,M1,215,180,154,824,560,974,830,1006,715,1143
,,M2,0,55,47,92,216,583,763,959,828,1394
,,M3,0,6,5,22,55,211,476,651,566,1029
,,M4,0,0,0,8,9,60,205,313,304,536
,,M5,0,0,0,0,0,14,84,101,99,178
,,M6,0,0,0,0,0,9,28,34,28,44
,,M0,807,946,508,828,560,514,551,481,279,303
,,M1,60,77,89,384,328,392,375,377,239,233
,,M2,0,19,47,64,144,239,287,343,258,225
,,M3,0,0,6,11,50,145,193,251,187,202
,,M4,0,0,0,24,24,66,89,156,111,118
,,M5,0,0,0,7,9,27,34,45,37,51
,,M6,0,0,0,0,7,7,4,13,14,21
G6P,G6P_123456,M0,10656,3794,6968,11446,3507,4382,3624,2682,2343,1091
,,M1,749,263,803,3149,1793,3240,2774,1927,1916,791
,,M2,114,68,98,500,620,1782,2658,1725,2056,760
,,M3,4,1,12,66,171,718,1557,1291,1566,638
,,M4,0,0,3,12,27,177,729,673,876,384
,,M5,0,0,0,0,6,34,232,214,311,109
,,M6,0,0,0,0,0,0,41,58,48,27
,,M0,2299,2766,1592,2592,1856,1861,2185,1746,935,940
,,M1,169,218,310,1009,976,1239,1289,1184,675,599
,,M2,35,44,93,254,465,912,1031,1189,704,682
,,M3,0,3,7,52,154,459,639,760,567,616
,,M4,0,0,0,0,42,196,290,385,305,333
,,M5,0,0,0,5,10,39,103,119,101,112
,,M6,0,0,0,0,0,11,15,27,20,25
PEP,PEP_123,M0,1615,140,377,420,366,278,394,415,273,120
,,M1,57,24,83,171,234,265,440,421,334,119
,,M2,8,0,4,16,46,75,239,225,224,76
,,M3,0,0,0,3,12,21,68,67,78,30
,,M0,1182,613,201,530,335,342,741,578,300,419
,,M1,42,117,55,328,297,384,836,695,405,571
,,M2,9,6,6,46,74,176,475,509,312,409
,,M3,0,0,5,9,19,68,204,169,118,171
SUCC,SUCC_1234,M0,27517,8554,24780,32712,13671,20653,19318,23692,10105,17425
,,M1,1264,403,1078,1429,603,918,852,1238,636,1301
,,M2,142,52,138,199,78,136,144,198,164,409
,,M3,5,3,9,7,5,9,23,27,41,98
,,M4,0,0,0,0,0,0,2,4,8,19
,,M0,4771,7869,5930,7390,7185,9519,8002,10006,4553,3627
,,M1,248,326,290,320,352,470,530,748,374,378
,,M2,31,35,32,44,43,80,109,212,142,159
,,M3,0,3,5,4,5,13,23,45,41,41
,,M4,0,0,0,0,0,0,6,9,9,10
GLU,GLU_12345,M0,17287,14998,16312,24439,17806,25670,24838,23355,13366,21797
,,M1,1003,887,987,1402,1090,1610,1634,1814,1132,2068
,,M2,128,126,126,182,144,222,254,332,270,546
,,M3,11,9,13,18,11,22,45,66,73,189
,,M4,0,0,0,0,3,4,9,15,20,56
,,M5,0,0,0,0,0,0,0,0,0,0
,,M0,4082,5946,4573,5481,3463,4982,4593,4665,1236,1230
,,M1,233,368,289,348,251,331,374,410,133,152
,,M2,30,43,31,46,34,60,93,118,47,63
,,M3,9,16,14,21,22,26,43,56,41,21
,,M4,0,0,0,7,6,11,14,20,9,9
,,M5,0,0,0,0,0,0,0,0,0,0
DHAP,DHAP_123,M0,1933,1029,1400,1632,1106,1370,1121,972,1182,1049
,,M1,80,36,97,230,285,435,536,489,725,634
,,M2,11,9,14,19,33,104,220,226,375,443
,,M3,0,0,0,2,8,31,83,92,130,123
,,M0,1459,1283,581,1237,606,763,814,718,724,604
,,M1,57,55,51,265,241,369,418,494,606,573
,,M2,0,10,18,31,49,158,263,284,430,412
,,M3,0,0,3,7,14,58,78,111,148,137
S7P,S7P_1234567,M0,2249,6120,3598,3820,2464,2481,1973,1864,1851,1978
,,M1,238,556,534,1465,2210,2977,2606,2704,3155,3482
,,M2,27,95,90,351,1038,2105,2793,3053,3754,4089
,,M3,7,10,10,53,291,1139,2145,2513,3448,3935
,,M4,0,25,13,23,70,423,1179,1590,2106,2486
,,M5,0,5,4,5,14,92,451,727,944,1288
,,M6,0,0,0,0,13,51,150,249,376,396
,,M7,0,0,0,0,5,22,42,69,87,112
,,M0,7207,8809,3502,4751,1831,1642,1497,1349,926,650
,,M1,575,749,973,3537,2279,2722,2368,2559,1824,1488
,,M2,111,149,173,1220,1609,2884,2428,3294,2611,2351
,,M3,9,12,21,285,608,1768,1969,2711,2466,2321
,,M4,0,38,23,75,208,787,1108,1598,1771,1654
,,M5,0,7,8,27,60,284,403,679,791,893
,,M6,0,0,6,17,28,95,136,205,274,254
,,M7,0,0,3,4,6,24,39,51,53,56
ADPGLC,ADPGLC_123456,M0,1280,523,468,426,440,437,411,352,460,288
,,M1,93,32,60,112,234,188,209,167,252,191
,,M2,34,8,11,20,90,130,215,185,235,196
,,M3,0,0,2,3,19,46,112,111,185,155
,,M4,0,0,0,0,1,19,54,69,90,71
,,M5,0,0,0,0,0,8,24,21,29,21
,,M6,0,0,0,0,0,2,7,2,9,8
,,M0,709,516,309,486,219,270,405,274,176,133
,,M1,45,43,56,177,176,176,247,180,119,12
,,M2,15,17,16,53,101,160,185,190,192,189
,,M3,0,0,1,8,30,84,148,132,100,164
,,M4,0,0,0,6,10,35,46,76,106,88
,,M5,0,0,0,0,2,9,20,26,26,38
,,M6,0,0,0,0,3,2,3,6,8,7
X5P,X5P_12345,M0,1136,1434,835,967,601,444,252,502,697,766
,,M1,78,100,104,208,203,277,255,448,759,818
,,M2,18,60,58,88,91,163,331,414,727,808
,,M3,0,5,6,8,17,59,154,200,354,424
,,M4,0,0,0,0,4,16,46,82,114,198
,,M5,0,0,0,0,0,31,28,41,39,72
,,M0,1984,2167,770,1262,620,632,719,618,445,401
,,M1,134,154,127,572,482,642,668,719,610,684
,,M2,96,69,38,188,261,477,549,670,648,717
,,M3,5,1,4,17,60,189,246,368,393,472
,,M4,0,0,0,4,15,59,116,159,170,205
,,M5,0,0,0,0,0,13,25,31,49,58
R5P,R5P_12345,M0,3512,2222,2506,2049,1384,1483,1075,1155,1398,1260
,,M1,202,156,263,530,646,994,997,976,1372,1401
,,M2,35,31,45,87,199,448,705,721,1150,1320
,,M3,0,4,6,8,49,149,378,396,680,732
,,M4,0,0,0,4,7,32,115,167,251,306
,,M5,0,0,0,0,0,9,32,40,63,66
,,M0,2803,2787,1120,2067,944,1454,942,1202,831,586
,,M1,162,192,191,631,534,747,852,915,853,846
,,M2,27,35,24,171,264,568,650,774,832,965
,,M3,8,4,4,36,75,230,323,463,582,637
,,M4,0,0,0,13,9,56,130,180,240,269
,,M5,0,0,0,0,3,16,18,35,55,65
MAL,MAL_1234,M0,27112,5690,10691,11326,50887,51655,19522,16699,8341,19537
,,M1,1202,905,1420,1533,6147,6320,2259,2027,945,2314
,,M2,218,159,306,494,2956,3339,1336,1172,670,1490
,,M3,9,15,25,44,383,757,476,519,340,633
,,M4,0,0,10,8,64,196,157,170,71,217
,,M0,11355,13428,13028,14667,12663,16853,17106,16552,10214,9705
,,M1,571,1747,1427,1532,1277,1596,1789,1616,1005,1045
,,M2,108,251,298,503,512,862,1050,978,592,673
,,M3,5,24,17,47,96,307,489,466,305,381
,,M4,0,17,26,22,44,74,147,124,81,88
E4P,E4P_1234,M0,308,385,361,388,354,434,383,314,324,266
,,M1,20,15,18,23,44,91,161,148,243,202
,,M2,12,23,11,18,14,64,112,123,198,182
,,M3,0,0,0,3,4,11,50,59,107,91
,,M4,0,0,0,0,0,0,9,23,33,29
,,M0,352,256,136,263,231,226,224,214,207,146
,,M1,16,17,10,22,25,52,57,99,84,104
,,M2,0,0,0,0,4,22,49,67,95,94
,,M3,0,0,0,0,0,0,16,34,59,68
,,M4,0,0,0,0,0,0,20,21,12,32
PYR,PYR_123,M0,313,291,203,255,102,143,105,109,128,116
,,M1,17,51,48,65,49,61,52,48,33,52
,,M2,0,0,0,7,3,15,17,34,40,64
,,M3,0,0,0,0,0,8,10,14,9,13
,,M0,508,740,1339,1246,397,515,411,233,232,162
,,M1,21,67,101,148,122,115,115,101,60,47
,,M2,0,0,0,14,56,77,84,67,72,57
,,M3,0,0,0,0,7,16,28,26,14,14
CIT,CIT_123456,M0,202359,90685,79740,125093,93871,58382,54018,54995,43258,53060
,,M1,12047,6937,4282,11522,11857,7504,4971,6141,4522,6581
,,M2,1488,837,859,2266,2356,3253,3523,3518,2693,2646
,,M3,72,47,110,184,263,960,1845,2075,1621,1637
,,M4,6,17,11,23,39,282,822,862,798,833
,,M5,0,3,7,3,4,48,189,269,228,268
,,M6,0,0,0,0,0,10,24,64,49,42
,,M0,67899,55644,24121,73330,60622,75358,93152,103472,78291,95644
,,M1,4448,6320,2419,7751,6473,8276,10459,9687,8097,9306
,,M2,537,814,502,2202,2035,3562,5068,4398,3489,4321
,,M3,56,52,39,324,574,1747,2545,2711,2199,2802
,,M4,12,19,7,38,149,557,1138,1280,1120,1614
,,M5,0,5,3,7,26,157,335,335,384,496
,,M6,0,0,0,0,0,15,49,72,79,89
AKG,AKG_12345,M0,6491,6478,5622,8900,1764,1780,421,1884,113,126
,,M1,383,394,347,606,123,123,36,155,14,22
,,M2,101,54,111,186,143,125,50,156,5,11
,,M3,5,5,14,8,4,8,5,11,5,2
,,M4,0,0,0,0,0,0,0,16,0,0
,,M5,0,0,0,0,0,0,0,0,0,0
,,M0,8478,9445,5229,9340,8499,10231,14375,10429,6558,6858
,,M1,432,661,345,665,603,736,1288,939,701,860
,,M2,102,107,101,157,118,180,370,367,323,410
,,M3,6,9,9,22,13,36,135,125,127,175
,,M4,0,0,0,3,1,12,32,65,53,76
,,M5,0,0,0,0,0,4,5,6,13,21
G1P,G1P_123456,M0,1101,1254,714,1292,974,1096,937,1142,801,1042
,,M1,83,105,100,366,472,842,814,712,669,703
,,M2,0,60,40,63,198,438,739,853,739,737
,,M3,0,11,5,9,38,166,454,500,496,604
,,M4,0,0,0,0,0,21,232,286,263,289
,,M5,0,0,0,0,9,22,55,85,89,124
,,M6,0,0,0,0,8,16,16,26,26,41
,,M0,371,470,232,432,346,383,317,394,268,250
,,M1,23,42,38,135,177,197,199,240,86,87
,,M2,0,14,20,39,74,109,145,271,134,99
,,M3,0,0,0,0,28,64,64,158,99,93
,,M4,0,0,0,0,0,34,76,106,38,59
,,M5,0,0,0,0,0,6,17,41,36,37
,,M6,0,0,0,0,0,35,27,27,21,33